,LUNES,LUNES,LUNES,LUNES,LUNES,LUNES,LUNES,LUNES,LUNES,LUNES,LUNES,LUNES,MARTES,MARTES,MARTES,MARTES,MARTES,MARTES,MARTES,MARTES,MARTES,MARTES,MARTES,MARTES,MEIRCOLES,MEIRCOLES,MIERCOLES,MIERCOLES,MEIRCOLES,MEIRCOLES,MEIRCOLES,MEIRCOLES,MIERCOLES,MIERCOLES,MEIRCOLES,MEIRCOLES,JUEVES,JUEVES,JUEVES,JUEVES,JUEVES,JUEVES,JUEVES,JUEVES,JUEVES,JUEVES,JUEVES,JUEVES,VIERNES,VIERNES,VIERNES,VIERNES,VIERNES,VIERNES,VIERNES,VIERNES,VIERNES,VIERNES,VIERNES,VIERNES,,,,,,,,,,,,,,,,,,,,,,,,
,7:30-8:30,8:30-9:30,9:30-10:30,10:30-11:30,11:30-12:30,12:30-13:30,15:30-16:30,16:30-17:30,17:30-18:30,18:30-19:30,19:30-20:30,20:30-21:30,7:30-8:30,8:30-9:30,9:30-10:30,10:30-11:30,11:30-12:30,12:30-13:30,15:30-16:30,16:30-17:30,17:30-18:30,18:30-19:30,19:30-20:30,20:30-21:30,7:30-8:30,8:30-9:30,9:30-10:30,10:30-11:30,11:30-12:30,12:30-13:30,15:30-16:30,16:30-17:30,17:30-18:30,18:30-19:30,19:30-20:30,20:30-21:30,7:30-8:30,8:30-9:30,9:30-10:30,10:30-11:30,11:30-12:30,12:30-13:30,15:30-16:30,16:30-17:30,17:30-18:30,18:30-19:30,19:30-20:30,20:30-21:30,7:30-8:30,8:30-9:30,9:30-10:30,10:30-11:30,11:30-12:30,12:30-13:30,15:30-16:30,16:30-17:30,17:30-18:30,18:30-19:30,19:30-20:30,20:30-21:30,,,,,,,Lunes,Martes,Miercoles,Jueves,,materia,materia,materia,,,,,,,,RESTRICCION,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GPOS,lunes,martes,miercoles,jueves,,3,4,5,,,suma,,HORAS,LUNES,MARTES,MIERCOLES,JUEVES,VIERNES
M12_1,1,1,1,1,1,1,1000,1000,1000,1,1,1,1,1,1,1,1,1,1000,1000,1000,1000,1000,1000,1,1,1,1,1,1,1000,1000,1000,1000,1000,1000,1,1,1,1,1,1,1000,1000,1000,1000,1000,1000,1,1,1,1,1,1,1,1,1,1,1,1,M12,,,M12_1,,#REF!,6,6,6,6,,3,0,0,,,3,,3,2,2,2,2,2
M12_2,1,1,1,1,1,1,1000,1000,1000,1,1,1,1,1,1,1,1,1,1000,1000,1000,1000,1000,1000,1,1,1,1,1,1,1000,1000,1000,1000,1000,1000,1,1,1,1,1,1,1000,1000,1000,1000,1000,1000,1,1,1,1,1,1,1,1,1,1,1,1,,,,M12_2,,#REF!,6,6,6,6,,3,0,0,,,3,,3,2,2,2,2,2
M12_3,1,1,1,1,1,1,1000,1000,1000,1,1,1,1,1,1,1,1,1,1000,1000,1000,1000,1000,1000,1,1,1,1,1,1,1000,1000,1000,1000,1000,1000,1,1,1,1,1,1,1000,1000,1000,1000,1000,1000,1,1,1,1,1,1,1,1,1,1,1,1,,,,M12_3,,#REF!,6,6,6,6,,0,4,0,,,4,,4,2,2,2,2,2
M12_4,1,1,1000,1,1000,1000,1000,1000,1000,1,1,1,1,1,1000,1,1000,1000,1000,1000,1000,1000,1000,1000,1,1,1000,1,1000,1000,1000,1000,1000,1000,1000,1000,1,1,1000,1,1000,1000,1000,1000,1000,1000,1000,1000,1,1,1000,1,1000,1000,1,1,1,1,1,1,,,,M12_4,,#REF!,3,3,3,3,,0,4,0,,,4,,4,2,2,2,2,2
M17_1,1000,1,1,1,1,1,1000,1000,1000,1000,1000,1000,1000,1,1,1,1,1,1000,1000,1000,1000,1000,1000,1000,1,1,1,1,1,1000,1000,1000,1000,1000,1000,1000,1000,1,1,1,1,1000,1000,1000,1000,1000,1000,1000,1000,1,1,1,1,1000,1000,1000,1000,1000,1000,M17,,,M17_1,,#REF!,5,5,5,4,,3,0,0,,,3,,3,2,2,2,2,2
M17_2,1000,1,1,1,1,1,1000,1000,1000,1000,1000,1000,1000,1,1,1,1,1,1000,1000,1000,1000,1000,1000,1000,1,1,1,1,1,1000,1000,1000,1000,1000,1000,1000,1000,1,1,1,1,1000,1000,1000,1000,1000,1000,1000,1000,1,1,1,1,1000,1000,1000,1000,1000,1000,,,,M17_2,,#REF!,5,5,5,4,,0,4,0,,,4,,4,2,2,2,2,2
M17_3,1000,1,1,1,1,1,1000,1000,1000,1000,1000,1000,1000,1,1,1,1,1,1000,1000,1000,1000,1000,1000,1000,1,1,1,1,1,1000,1000,1000,1000,1000,1000,1000,1000,1,1,1,1,1000,1000,1000,1000,1000,1000,1000,1000,1,1,1,1,1000,1000,1000,1000,1000,1000,,,,M17_3,,#REF!,5,5,5,4,,0,4,0,,,4,,4,2,2,2,2,2
M17_4,1000,1,1,1,1,1,1000,1000,1000,1000,1000,1000,1000,1,1,1,1,1,1000,1000,1000,1000,1000,1000,1000,1,1,1,1,1,1000,1000,1000,1000,1000,1000,1000,1000,1,1,1,1,1000,1000,1000,1000,1000,1000,1000,1000,1,1,1,1,1000,1000,1000,1000,1000,1000,,,,M17_4,,#REF!,5,5,5,4,,0,4,0,,,4,,4,2,2,2,2,2
M24_1,1,1,1,1,1000,1000,1000,1000,1,1,1,1000,1,1,1000,1,1,1,1000,1,1,1,1,1000,1,1,1,1,1,1,1000,1,1,1,1,1000,1000,1000,1000,1,1,1,1000,1000,1000,1,1,1,1000,1000,1,1,1,1000,1000,1000,1000,1000,1000,1000,M24,,,M24_1,,#REF!,4,5,6,3,,0,0,5,,,5,,5,2,2,2,2,2
M24_2,1,1,1,1,1000,1000,1000,1000,1,1,1,1000,1,1,1000,1,1,1,1000,1,1,1,1,1000,1,1,1,1,1,1,1000,1,1,1,1,1000,1000,1000,1000,1,1,1,1000,1000,1000,1,1,1,1000,1000,1,1,1,1000,1000,1000,1000,1000,1000,1000,,,,M24_2,,#REF!,4,5,6,3,,0,0,5,,,5,,5,2,2,2,2,2
