,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M11_1,1,1,1,1,1,1,1,1000,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,M11,,,M11_1,,1,6,5,6,6,,,,,,,,,,,,,,,,,,
M13_1,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1,1,1000,1000,1000,1000,1,1,1000,1000,1000,1000,1,1,1000,1000,1000,1000,1,1,M13,,,M13_1,,1,0,2,2,2,,,,,,,,,,,,,,,,,,
M20_1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,M20,,,M20_1,,1,6,6,6,6,,,,,,,,,,,,,,,,,,
M21_1,1000,1000,1000,1000,1000,1000,1,1,1000,1000,1,1000,1,1,1000,1000,1000,1000,1,1,1000,1000,1000,1000,1,1,1000,1000,1000,1000,M21,,,M21_1,,1,0,3,2,2,,,,,,,,,,,,,,,,,,
M5_1,1,1,1,1000,1000,1000,1,1,1000,1000,1000,1000,1,1,1000,1000,1000,1000,1,1,1000,1000,1000,1000,1,1,1,1000,1000,1000,M5,,,M5_1,,1,3,2,2,2,,,,,,,,,,,,,,,,,,
M5_2,1,1,2,1000,1000,1000,1,1,1000,1000,1000,1000,1,1,1000,1000,1000,1000,1,1,1000,1000,1000,1000,1,1,2,1000,1000,1000,,,,M5_2,,1,4,2,2,2,,,,,,,,,,,,,,,,,,
M6_1,1,1,1,1,1,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1,1,1,1,1,1000,M6,,,M6_1,,1,5,0,0,0,,,,,,,,,,,,,,,,,,
M6_2,1,1,2,1,1,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1,1,2,1,1,1000,,,,M6_2,,1,6,0,0,0,,,,,,,,,,,,,,,,,,
M7_1,1000,1000,1,1,1,1,1000,1000,1,1,1,1,1000,1000,1,1,1,1,1000,1000,1,1,1,1,1000,1000,1000,1000,1000,1,M7,,,M7_1,,1,4,4,4,4,,,,,,,,,,,,,,,,,,
M7_2,1000,1000,1,1,1,1,1000,1000,1,1,1,1,1000,1000,1,1,1,1,1000,1000,1,1,1,1,1000,1000,1000,1000,1000,1,,,,M7_2,,1,4,4,4,4,,,,,,,,,,,,,,,,,,
M10_1,1000,1000,1,1,1,1,1000,1,1,1,1,1,1000,1,1,1,1,1,1000,1,1,1,1,1,1000,1,1,1,1,1,M10,,,M10_1,,1,4,5,5,5,,,,,,,,,,,,,,,,,,
M10_2,1000,1000,1,1,1,1,1000,1,1,1,1,1,1000,1,1,1,1,1,1000,1,1,1,1,1,1000,1,1,1,1,1,,,,M10_2,,1,4,5,5,5,,,,,,,,,,,,,,,,,,
M15_1,1000,1000,1000,1000,1,1,1000,1000,1,1,1,1,1000,1000,1,1,1,1,1000,1000,1,1,1,1,1000,1000,1000,1000,1000,1000,M15,,,M15_1,,1,2,4,4,4,,,,,,,,,,,,,,,,,,
M15_2,1000,1000,1000,1000,1,1,1000,1000,1,1,1,1,1000,1000,1,1,1,1,1000,1000,1,1,1,1,1000,1000,1000,1000,1000,1000,,,,M15_2,,1,2,4,4,4,,,,,,,,,,,,,,,,,,
M18_1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,M18,,,M18_1,,1,6,6,6,6,,,,,,,,,,,,,,,,,,
M18_2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,M18_2,,1,6,6,6,6,,,,,,,,,,,,,,,,,,
M19_1,1000,1000,1,1,1,1,1000,1000,1,1,1,1,1000,1000,1000,1000,1,1,1000,1000,1000,1,1,1,1000,1000,1000,1000,1,1,M19,,,M19_1,,1,4,4,2,3,,,,,,,,,,,,,,,,,,
M19_2,1000,1000,1,1,1,1,1000,1000,1,1,1,1,1000,1000,1000,1000,1,1,1000,1000,1000,1,1,1,1000,1000,1000,1000,1,1,,,,M19_2,,1,4,4,2,3,,,,,,,,,,,,,,,,,,
M22_1,1000,1000,1,1,1,1,1000,1000,1000,1000,1,1,1000,1000,1,1,1,1,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,M22,,,M22_1,,1,4,2,4,0,,,,,,,,,,,,,,,,,,
M22_2,1000,1000,1,1,1,1,1000,1000,1000,1000,1,1,1000,1000,1,1,1,1,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,,,,M22_2,,1,4,2,4,0,,,,,,,,,,,,,,,,,,
M23_1,1,1,1000,1000,1000,1000,1,1,1000,1000,1000,1000,1,1,1000,1000,1000,1000,1,1,1000,1000,1000,1000,1,1,1000,1000,1000,1000,M23,,,M23_1,,1,2,2,2,2,,,,,,,,,,,,,,,,,,
M23_2,1,1,1000,1000,1000,1000,1,1,1000,1000,1000,1000,1,1,1000,1000,1000,1000,1,1,1000,1000,1000,1000,1,1,1000,1000,1000,1000,,,,M23_2,,1,2,2,2,2,,,,,,,,,,,,,,,,,,
M25_1,1000,1,1,1,1,1,1000,1,1,1,1,1,1000,1,1,1,1,1,1000,1,1,1,1,1,1000,1,1,1,1,1,M25,,,M25_1,,1,5,5,5,5,,,,,,,,,,,,,,,,,,
M25_2,1000,1,1,1,1,1,1000,1,1,1,1,1,1000,1,1,1,1,1,1000,1,1,1,1,1,1000,1,1,1,1,1,,,,M25_2,,1,5,5,5,5,,,,,,,,,,,,,,,,,,
M8_1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1000,1000,1,1,1000,1,1000,1,M8,,,M8_1,,1,6,6,6,4,,,,,,,,,,,,,,,,,,
M8_2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1000,1000,1,1,1000,1,1000,1,,,,M8_2,,1,6,6,6,4,,,,,,,,,,,,,,,,,,
M8_3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1000,1000,1,1,1000,1,1000,1,,,,M8_3,,1,6,6,6,4,,,,,,,,,,,,,,,,,,
M14_1,1,1,1,1,1,1,1000,1000,1000,1,1000,1000,1000,1000,1000,1,1,1,1000,1000,1000,1,1,1,1000,1000,1000,1,1,1,M14,,,M14_1,,1,6,1,3,3,,,,,,,,,,,,,,,,,,
M14_2,1,1,1,1,1,1,1000,1000,1000,1,1000,1000,1000,1000,1000,1,1,1,1000,1000,1000,1,1,1,1000,1000,1000,1,1,1,,,,M14_2,,1,6,1,3,3,,,,,,,,,,,,,,,,,,
M14_3,1,1,1,1,1,1,1000,1000,1000,1,1000,1000,1000,1000,1000,1,1,1,1000,1000,1000,1,1,1,1000,1000,1000,1,1,1,,,,M14_3,,1,6,1,3,3,,,,,,,,,,,,,,,,,,
M16_1,1000,1000,1000,1000,1000,1000,1000,1,1,1,1,1000,1000,1,1,1,1,1,1000,1,1,1,1000,1,1000,1,1,1,1,1,M16,,,M16_1,,1,0,4,5,4,,,,,,,,,,,,,,,,,,
M16_2,1000,1000,1000,1000,1000,1000,1000,1,1,1,1,1000,1000,1,1,1,1,1,1000,1,1,1,1000,1,1000,1,1,1,1,1,,,,M16_2,,1,0,4,5,4,,,,,,,,,,,,,,,,,,
M16_3,1000,1000,1000,1000,1000,1000,1000,1,1,1,1,1000,1000,1,1,1,1,1,1000,1,1,1,1000,1,1000,1,1,1,1,1,,,,M16_3,,1,0,4,5,4,,,,,,,,,,,,,,,,,,
M12_1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,M12,,,M12_1,,1,6,6,6,6,,,,,,,,,,,,,,,,,,
M12_2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,M12_2,,1,6,6,6,6,,,,,,,,,,,,,,,,,,
M12_3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,M12_3,,1,6,6,6,6,,,,,,,,,,,,,,,,,,
M12_4,1,1,1000,1,1000,1000,1,1,1000,1,1000,1000,1,1,1000,1,1000,1000,1,1,1000,1,1000,1000,1,1,1000,1,1000,1000,,,,M12_4,,1,3,3,3,3,,,,,,,,,,,,,,,,,,
M17_1,1000,1,1,1,1,1,1000,1,1,1,1,1,1000,1,1,1,1,1,1000,1000,1,1,1,1,1000,1000,1,1,1,1,M17,,,M17_1,,1,5,5,5,4,,,,,,,,,,,,,,,,,,
M17_2,1000,1,1,1,1,1,1000,1,1,1,1,1,1000,1,1,1,1,1,1000,1000,1,1,1,1,1000,1000,1,1,1,1,,,,M17_2,,1,5,5,5,4,,,,,,,,,,,,,,,,,,
M17_3,1000,1,1,1,1,1,1000,1,1,1,1,1,1000,1,1,1,1,1,1000,1000,1,1,1,1,1000,1000,1,1,1,1,,,,M17_3,,1,5,5,5,4,,,,,,,,,,,,,,,,,,
M17_4,1000,1,1,1,1,1,1000,1,1,1,1,1,1000,1,1,1,1,1,1000,1000,1,1,1,1,1000,1000,1,1,1,1,,,,M17_4,,1,5,5,5,4,,,,,,,,,,,,,,,,,,
M24_1,1,1,1,1,1000,1000,1,1,1000,1,1,1,1,1,1,1,1,1,1000,1000,1000,1,1,1,1000,1000,1,1,1,1000,M24,,,M24_1,,1,4,5,6,3,,,,,,,,,,,,,,,,,,
M24_2,1,1,1,1,1000,1000,1,1,1000,1,1,1,1,1,1,1,1,1,1000,1000,1000,1,1,1,1000,1000,1,1,1,1000,,,,M24_2,,1,4,5,6,3,,,,,,,,,,,,,,,,,,
M24_3,1,1,1,1,1000,1000,1,1,1000,1,1,1,1,1,1,1,1,1,1000,1000,1000,1,1,1,1000,1000,1,1,1,1000,,,,M24_3,,1,4,5,6,3,,,,,,,,,,,,,,,,,,
M24_4,1,1,1,1,1000,1000,1,1,1000,1,1,1,1000,1000,1000,1,1,1,1000,1000,1000,1,1,1,1000,1000,1,1,1,1000,,,,M24_4,,1,4,5,3,3,,,,,,,,,,,,,,,,,,
M9_1,1000,1000,1,1,1,1,1000,1000,1,1,1,1,1000,1000,1,1,1,1,1000,1000,1,1,1,1,1000,1000,1,1,1,1,M9,,,M9_1,,1,4,4,4,4,,,,,,,,,,,,,,,,,,
M9_2,1000,1000,1,1,1,1,1000,1000,1,1,1,1,1000,1000,1,1,1,1,1000,1000,1,1,1,1,1000,1000,1,1,1,1,,,,M9_2,,1,4,4,4,4,,,,,,,,,,,,,,,,,,
M9_3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,M9_3,,1,6,6,6,6,,,,,,,,,,,,,,,,,,
